iter	Passed	Remaining
168	1284	6317
169	1287	6288
170	1295	6281
171	1302	6271
172	1310	6262
173	1316	6251
174	1325	6247
175	1332	6236
176	1336	6215
177	1342	6198
178	1346	6177
179	1351	6155
180	1358	6146
181	1366	6140
182	1372	6127
183	1377	6109
184	1384	6099
185	1390	6083
186	1394	6063
187	1400	6050
188	1404	6025
189	1409	6008
190	1414	5990
191	1421	5981
192	1427	5968
193	1433	5955
194	1441	5949
195	1450	5949
196	1463	5963
197	1467	5943
198	1476	5942
199	1481	5927
200	1492	5933
201	1499	5924
202	1509	5925
203	1517	5920
204	1523	5910
205	1527	5889
206	1533	5874
207	1538	5858
208	1544	5846
209	1548	5824
210	1553	5810
211	1560	5799
212	1563	5778
213	1571	5770
214	1581	5775
215	1588	5764
216	1595	5756
217	1601	5744
218	1610	5742
219	1616	5730
220	1619	5708
221	1624	5694
222	1631	5685
223	1637	5673
224	1645	5667
225	1651	5656
226	1654	5635
227	1663	5633
228	1673	5633
229	1677	5616
230	1681	5598
231	1689	5593
232	1696	5586
233	1704	5578
234	1710	5568
235	1716	5556
236	1721	5543
237	1728	5534
238	1736	5528
239	1741	5515
240	1747	5502
241	1754	5495
242	1762	5489
243	1770	5486
244	1777	5477
245	1782	5463
246	1792	5463
247	1797	5451
248	1804	5442
249	1810	5431
250	1815	5416
251	1821	5405
252	1826	5392
253	1832	5382
254	1839	5373
255	1846	5365
256	1853	5359
257	1860	5351
258	1867	5342
259	1875	5337
260	1880	5324
261	1890	5324
262	1895	5311
263	1904	5310
264	1911	5300
265	1918	5294
266	1925	5286
267	1930	5273
268	1934	5256
269	1942	5253
270	1948	5242
271	1956	5236
272	1964	5232
273	1973	5229
274	1979	5219
275	1986	5210
276	1992	5200
277	2002	5199
278	2012	5200
279	2021	5197
280	2025	5181
281	2033	5176
282	2036	5159
283	2043	5151
284	2047	5137
285	2052	5125
286	2059	5115
287	2065	5105
288	2073	5100
289	2077	5087
290	2084	5078
291	2091	5070
292	2098	5062
293	2103	5050
294	2111	5046
295	2117	5035
296	2121	5022
297	2129	5015
298	2134	5004
299	2138	4990
300	2146	4985
301	2153	4976
302	2159	4968
303	2165	4957
304	2170	4946
305	2175	4933
306	2178	4917
307	2182	4903
308	2185	4887
309	2197	4891
310	2204	4884
311	2210	4874
312	2218	4869
313	2223	4857
314	2229	4847
315	2240	4848
316	2247	4842
317	2253	4833
318	2258	4820
319	2265	4813
320	2272	4805
321	2281	4802
322	2288	4795
323	2294	4786
324	2302	4781
325	2310	4777
326	2316	4766
327	2321	4755
328	2334	4761
329	2343	4758
330	2354	4758
331	2359	4747
332	2363	4734
333	2372	4730
334	2381	4727
335	2387	4718
336	2393	4708
337	2401	4703
338	2408	4695
339	2412	4683
340	2419	4676
341	2426	4668
342	2432	4658
343	2439	4651
344	2445	4643
345	2451	4633
346	2460	4629
347	2466	4621
348	2471	4609
349	2475	4597
350	2481	4589
351	2488	4581
352	2496	4575
353	2505	4572
354	2515	4571
355	2523	4565
356	2531	4559
357	2542	4560
358	2549	4551
359	2555	4542
360	2565	4541
361	2577	4542
362	2582	4532
363	2591	4527
364	2601	4525
365	2605	4513
366	2614	4508
367	2619	4498
368	2626	4491
369	2631	4481
370	2640	4477
371	2649	4473
372	2657	4467
373	2668	4465
374	2678	4464
375	2685	4457
376	2693	4450
377	2701	4445
378	2706	4435
379	2716	4432
380	2722	4422
381	2726	4411
382	2733	4403
383	2737	4392
384	2742	4381
385	2750	4375
386	2757	4367
387	2764	4360
388	2769	4350
389	2774	4339
390	2782	4334
391	2793	4332
392	2799	4324
393	2805	4315
394	2811	4306
395	2818	4299
396	2822	4287
397	2829	4279
398	2836	4272
399	2842	4263
400	2847	4252
401	2858	4251
402	2863	4242
403	2868	4231
404	2878	4229
405	2884	4220
406	2888	4208
407	2894	4200
408	2898	4188
409	2904	4179
410	2913	4175
411	2919	4166
412	2925	4158
413	2933	4151
